completeness;brutus_action;brutus_location;world_nr;tick_nr
0.0;;(24, 12);1;0
0.0;;(24, 12);1;1
0.0;;(24, 12);1;2
0.0;MoveNorth;(24, 11);1;3
0.0;MoveNorth;(24, 10);1;4
0.0;MoveNorth;(24, 9);1;5
0.0;MoveNorth;(24, 8);1;6
0.0;MoveNorth;(24, 7);1;7
0.0;MoveNorth;(24, 6);1;8
0.0;MoveNorthWest;(23, 5);1;9
0.0;MoveNorth;(23, 4);1;10
0.0;Idle;(23, 4);1;11
0.0;MoveNorth;(23, 3);1;12
0.0;MoveNorthWest;(22, 2);1;13
0.0;MoveNorth;(22, 1);1;14
0.0;MoveSouth;(22, 2);1;15
0.0;MoveNorthEast;(23, 1);1;16
0.0;AddObject;(23, 1);1;17
0.0;MoveSouth;(23, 2);1;18
0.0;AddObject;(23, 2);1;19
0.0;MoveNorthEast;(24, 1);1;20
0.0;MoveSouth;(24, 2);1;21
0.0;Idle;(24, 2);1;22
0.0;;(24, 2);1;23
0.0;;(24, 2);1;24
0.0;;(24, 2);1;25
0.0;;(24, 2);1;26
0.0;;(24, 2);1;27
0.0;;(24, 2);1;28
0.0;;(24, 2);1;29
0.0;;(24, 2);1;30
0.0;;(24, 2);1;31
0.0;;(24, 2);1;32
0.0;;(24, 2);1;33
0.0;;(24, 2);1;34
0.0;;(24, 2);1;35
0.0;;(24, 2);1;36
0.0;;(24, 2);1;37
0.0;;(24, 2);1;38
0.0;;(24, 2);1;39
0.0;;(24, 2);1;40
0.0;;(24, 2);1;41
0.0;;(24, 2);1;42
0.0;;(24, 2);1;43
0.0;;(24, 2);1;44
0.0;;(24, 2);1;45
0.0;;(24, 2);1;46
0.0;;(24, 2);1;47
0.0;;(24, 2);1;48
0.0;;(24, 2);1;49
0.0;;(24, 2);1;50
0.0;;(24, 2);1;51
0.0;;(24, 2);1;52
0.0;;(24, 2);1;53
0.0;;(24, 2);1;54
0.0;;(24, 2);1;55
0.0;;(24, 2);1;56
0.0;;(24, 2);1;57
0.0;;(24, 2);1;58
0.0;;(24, 2);1;59
0.0;;(24, 2);1;60
0.0;;(24, 2);1;61
0.0;;(24, 2);1;62
0.0;;(24, 2);1;63
0.0;;(24, 2);1;64
0.0;;(24, 2);1;65
0.0;;(24, 2);1;66
0.0;;(24, 2);1;67
0.0;;(24, 2);1;68
0.0;;(24, 2);1;69
0.0;;(24, 2);1;70
0.0;Idle;(24, 2);1;71
0.0;Idle;(24, 2);1;72
0.0;MoveNorth;(24, 1);1;73
0.0;RemoveObject;(24, 1);1;74
0.0;CarryObject;(24, 1);1;75
0.0;MoveSouth;(24, 2);1;76
0.0;MoveSouthWest;(23, 3);1;77
0.0;MoveSouth;(23, 4);1;78
0.0;MoveSouth;(23, 5);1;79
0.0;MoveSouth;(23, 6);1;80
0.0;MoveSouth;(23, 7);1;81
0.0;MoveSouth;(23, 8);1;82
0.0;MoveSouth;(23, 9);1;83
0.0;MoveSouth;(23, 10);1;84
0.0;MoveSouth;(23, 11);1;85
0.0;MoveSouth;(23, 12);1;86
0.0;MoveSouthEast;(24, 13);1;87
0.0;MoveSouth;(24, 14);1;88
0.0;MoveSouth;(24, 15);1;89
0.0;MoveSouthEast;(25, 16);1;90
0.09090909090909091;Drop;(25, 16);1;91
0.09090909090909091;MoveSouthWest;(24, 17);1;92
0.09090909090909091;MoveSouth;(24, 18);1;93
0.09090909090909091;MoveSouthWest;(23, 19);1;94
0.09090909090909091;MoveSouth;(23, 20);1;95
0.09090909090909091;Idle;(23, 20);1;96
0.09090909090909091;MoveSouth;(23, 21);1;97
0.09090909090909091;MoveSouthWest;(22, 22);1;98
0.09090909090909091;MoveSouth;(22, 23);1;99
0.09090909090909091;MoveNorthEast;(23, 22);1;100
0.09090909090909091;MoveSouth;(23, 23);1;101
0.09090909090909091;MoveNorthEast;(24, 22);1;102
0.09090909090909091;MoveSouth;(24, 23);1;103
0.09090909090909091;Idle;(24, 23);1;104
0.09090909090909091;MoveNorthWest;(23, 22);1;105
0.09090909090909091;MoveNorth;(23, 21);1;106
0.09090909090909091;MoveNorthWest;(22, 20);1;107
0.09090909090909091;MoveWest;(21, 20);1;108
0.09090909090909091;MoveWest;(20, 20);1;109
0.09090909090909091;MoveWest;(19, 20);1;110
0.09090909090909091;MoveWest;(18, 20);1;111
0.09090909090909091;MoveWest;(17, 20);1;112
0.09090909090909091;MoveWest;(16, 20);1;113
0.09090909090909091;Idle;(16, 20);1;114
0.09090909090909091;MoveSouth;(16, 21);1;115
0.09090909090909091;MoveSouthWest;(15, 22);1;116
0.09090909090909091;MoveSouth;(15, 23);1;117
0.09090909090909091;MoveNorthEast;(16, 22);1;118
0.09090909090909091;AddObject;(16, 22);1;119
0.09090909090909091;MoveSouth;(16, 23);1;120
0.09090909090909091;AddObject;(16, 23);1;121
0.09090909090909091;MoveNorthEast;(17, 22);1;122
0.09090909090909091;MoveSouth;(17, 23);1;123
0.09090909090909091;Idle;(17, 23);1;124
0.09090909090909091;;(17, 23);1;125
0.09090909090909091;;(17, 23);1;126
0.09090909090909091;;(17, 23);1;127
0.09090909090909091;;(17, 23);1;128
0.09090909090909091;;(17, 23);1;129
0.09090909090909091;;(17, 23);1;130
0.09090909090909091;;(17, 23);1;131
0.09090909090909091;;(17, 23);1;132
0.09090909090909091;;(17, 23);1;133
0.09090909090909091;;(17, 23);1;134
0.09090909090909091;;(17, 23);1;135
0.09090909090909091;;(17, 23);1;136
0.09090909090909091;;(17, 23);1;137
0.09090909090909091;;(17, 23);1;138
0.09090909090909091;;(17, 23);1;139
0.09090909090909091;;(17, 23);1;140
0.09090909090909091;;(17, 23);1;141
0.09090909090909091;;(17, 23);1;142
0.09090909090909091;;(17, 23);1;143
0.09090909090909091;;(17, 23);1;144
0.09090909090909091;;(17, 23);1;145
0.09090909090909091;;(17, 23);1;146
0.09090909090909091;;(17, 23);1;147
0.09090909090909091;;(17, 23);1;148
0.09090909090909091;;(17, 23);1;149
0.09090909090909091;;(17, 23);1;150
0.09090909090909091;;(17, 23);1;151
0.09090909090909091;;(17, 23);1;152
